Species Common Name,Scientific Name,TaxonClass,Overall Sample Size,Overall MLE,Overall CI - lower,Overall CI - upper,Male Sample Size,Male MLE,Male CI - lower
"Wallaby, Parma",Macropus parma,Mammalia,,5.5,5.1,5.9,309,5,4.4
"Wallaby, Tammar",Macropus eugenii,Mammalia,,5.8,5.5,6.7,156,5.9,5.5
"Wallaby, Yellow-footed Rock",Petrogale xanthopus xanthopus,Mammalia,,6.3,5.8,6.5,76,6.1,5.4
"Wallaroo, Common",Macropus robustus,Mammalia,,9.3,8,10,147,8,7.2
"Warthog, Common",Phacochoerus africanus,Mammalia,,11.7,11,12.3,200,11.2,10.1
Wildebeest,Connochaetes taurinus,Mammalia,,12.1,10.8,13.2,283,8.3,7.4
"Wolf, Maned",Chrysocyon brachyurus,Mammalia,,12.3,11.8,12.8,107,12.6,11.9
"Wolf, Mexican Gray",Canis lupus baileyi,Mammalia,,11,10.5,12.1,263,11,10.1
"Wolf, Red",Canis rufus gregoryi,Mammalia,,10.8,10.2,11.2,311,10.8,9.7
"Woodhoopoe, Green",Phoeniculus purpureus,Aves,,5.4,4.5,6.3,136,6,4.7
"Wood-partridge, Crested",Rollulus rouloul,Aves,,4.8,4.6,5.1,645,5,4.6
"Zebra, Grevy's",Equus grevyi,Mammalia,,14.1,12.9,15.3,341,11.2,8.8
"Zebra, Hartmann's Mountain",Equus zebra hartmannae,Mammalia,,13.9,12.3,15.3,283,12.3,10.8
"Zebra, Plains",Equus quagga ,Mammalia,,15.6,14.4,16.5,638,14,11.6
